TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName	ScheduleFrequency	ScheduleExpression	LastRunDate
12600	123	Assessments Bronze - SavePA - AHK	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	1	2026-08-13 11:17:12.317711	Joel	2026-08-14 08:59:59.407241	Joel	NULL	AHK	SAMMS-Ahoskie	Ahoskie	NULL	NULL	NULL
12601	123	Assessments Bronze - SavePA - B12B	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	1	2026-08-13 11:17:12.317711	Joel	2026-08-14 08:59:59.407241	Joel	NULL	B12B	SAMMS-ColoradoSpringsV5	ColoradoSprings	NULL	NULL	NULL
12602	123	Assessments Bronze - SavePA - B24	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	1	2026-08-13 11:17:12.317711	Joel	2026-08-14 08:59:59.407241	Joel	NULL	B24	SAMMS-PaintsvilleV5	Paintsville	NULL	NULL	NULL
12603	123	Assessments Bronze - SavePA - B25	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B25	SAMMS-PikevilleV5	Pikeville	NULL	NULL	NULL
12604	123	Assessments Bronze - SavePA - B26	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B26	SAMMS-HazardV5	Hazard	NULL	NULL	NULL
12605	123	Assessments Bronze - SavePA - B27	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B27	SAMMS-SavannahV6	Savannah	NULL	NULL	NULL
12606	123	Assessments Bronze - SavePA - B28	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B28	SAMMS-WestPlainesV5	WestPlaines	NULL	NULL	NULL
12607	123	Assessments Bronze - SavePA - B29	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B29	SAMMS-PoplarBluffV5	PoplarBluff	NULL	NULL	NULL
12608	123	Assessments Bronze - SavePA - B30	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B30	SAMMS-KCNv5	KCN	NULL	NULL	NULL
12609	123	Assessments Bronze - SavePA - B31	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B31	SAMMS-DyersburgV5	Dyersburg	NULL	NULL	NULL
12610	123	Assessments Bronze - SavePA - B33	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B33	SAMMS-Paducah	Paducah	NULL	NULL	NULL
12611	123	Assessments Bronze - SavePA - B34	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B34	SAMMS-CorbinV5	Corbin	NULL	NULL	NULL
12612	123	Assessments Bronze - SavePA - B35	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B35	SAMMS-LexingtonV5	Lexington	NULL	NULL	NULL
12613	123	Assessments Bronze - SavePA - B35A	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B35A	SAMMS-BereaV5	Berea	NULL	NULL	NULL
12614	123	Assessments Bronze - SavePA - B36	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B36	SAMMS-AshevilleV5	Asheville	NULL	NULL	NULL
12615	123	Assessments Bronze - SavePA - B37	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B37	SAMMS-ClydeV5	Clyde	NULL	NULL	NULL
12616	123	Assessments Bronze - SavePA - B38	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B38	SAMMS-SpartanburgV5	Spartanburg	NULL	NULL	NULL
12617	123	Assessments Bronze - SavePA - B39	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B39	SAMMS-AikenV5	Aiken	NULL	NULL	NULL
12618	123	Assessments Bronze - SavePA - B41	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B41	SAMMS-ChesapeakeV5	Chesapeake	NULL	NULL	NULL
12619	123	Assessments Bronze - SavePA - B42	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B42	SAMMS-VirginiaBeachV5	VirginiaBeach	NULL	NULL	NULL
12620	123	Assessments Bronze - SavePA - B42A	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B42A	SAMMS-NewportNewsV5	NewportNews	NULL	NULL	NULL
12621	123	Assessments Bronze - SavePA - B42B	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B42B	SAMMS-FranklinV5	Franklin	NULL	NULL	NULL
12622	123	Assessments Bronze - SavePA - B42C	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B42C	SAMMS-GlenAllenV5	GlenAllen	NULL	NULL	NULL
12623	123	Assessments Bronze - SavePA - B42D	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B42D	SAMMS-ChesapeakeSouthV5	ChesapeakeSouth	NULL	NULL	NULL
12624	123	Assessments Bronze - SavePA - B44	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B44	SAMMS-AlbanyV5	Albany	NULL	NULL	NULL
12625	123	Assessments Bronze - SavePA - B45	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B45	SAMMS-TiftonV5	Tifton	NULL	NULL	NULL
12626	123	Assessments Bronze - SavePA - B46	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B46	SAMMS-WashingtonDCv5	WashingtonDC	NULL	NULL	NULL
12627	123	Assessments Bronze - SavePA - B47	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B47	SAMMS-MobileV5	Mobile	NULL	NULL	NULL
12628	123	Assessments Bronze - SavePA - B48	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B48	SAMMS-TuscaloosaV5	Tuscaloosa	NULL	NULL	NULL
12629	123	Assessments Bronze - SavePA - B51	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B51	SAMMS-NorthLittleRockV6	NorthLittleRock	NULL	NULL	NULL
12630	123	Assessments Bronze - SavePA - B52	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B52	SAMMS-JacksonGAV5	JacksonGA	NULL	NULL	NULL
12631	123	Assessments Bronze - SavePA - B54	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B54	SAMMS-GadsdenV5	Gadsden	NULL	NULL	NULL
12632	123	Assessments Bronze - SavePA - B55	NULL	SavePA	PeriodicReassessment	0	NULL	FULL	0	NULL	0	assessments02	br_PA	/lakehouse/bhg_bronze/Tables/assessments02/br_PA	1	3	120	NULL	NULL	0	2026-08-13 11:17:12.317711	Joel	2026-08-13 11:17:12.317711	Joel	NULL	B55	SAMMS-ShoalsV5	Shoals	NULL	NULL	NULL
