BronzeColumn	SilverColumn
arnID	ArnID
arnLIID	ArnLIID
arnNOTE	ArnNOTE
arnUSER	ArnUSER
arnDATE	ArnDATE
arnDtRemoved	ArnDtRemoved
arnStrRemovedReason	ArnStrRemovedReason
arnStrRemovedUser	ArnStrRemovedUser
bid	Bid
arnDBnotes	ArnDBnotes
globalBatchId	GlobalBatchId
tpcn	Tpcn
tpcnTPCID	TpcnTPCID
tpcnDtmAdded	TpcnDtmAdded
tpcnStrAdded	TpcnStrAdded
tpcnStrNote	TpcnStrNote
tpcnStrType	TpcnStrType
tpcnDtTickler	TpcnDtTickler
tpcnDtTicklerRemoved	TpcnDtTicklerRemoved
tpcnStrTicklerRemovedNote	TpcnStrTicklerRemovedNote
tpcnStrTicklerRemovedUser	TpcnStrTicklerRemovedUser
tpcnStrTicklerType	TpcnStrTicklerType
