SourceSystem,FinalFinanceDestinations,TimeZone,SiteCode,ActionKey,StepKey,Enabled,ConType,ConnectionID,ConName,ConStr,dbName,CtrlMethod,EnrollCutoff,ContractDate,ClinicName,IsActive,IsNewSchema,SrcSchema,FromTblVw,DsnSchema,DsnTbl,WhereCondition,SortOrder,ReInitialize,SchemaVersion,CompKey,RowTrax
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,AHK,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Ahoskie ;,"SAMMS-Ahoskie ",Select,NULL,NULL,Ahoskie,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,AHK-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,MST,B12B,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ColoradoSpringsV5;,SAMMS-ColoradoSpringsV5,Select,NULL,NULL,Colorado Springs,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B12B-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B24,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-PaintsvilleV5;,SAMMS-PaintsvilleV5,Select,NULL,NULL,Paintsville,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B24-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B25,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-PikevilleV5;,SAMMS-PikevilleV5,Select,NULL,NULL,Pikeville,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B25-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B26,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-HazardV5;,SAMMS-HazardV5,Select,NULL,NULL,Hazard,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B26-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B27,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-SavannahV6;,SAMMS-SavannahV6,Select,2022-09-14,NULL,Savannah,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B27-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B28,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-WestPlainesV5;,SAMMS-WestPlainesV5,Select,NULL,NULL,West Plains,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B28-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B29,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-PoplarBluffV5;,SAMMS-PoplarBluffV5,Select,NULL,NULL,Poplar Bluff,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B29-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B30,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-KCNv5;,SAMMS-KCNv5,Select,2016-02-01,NULL,KC North,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B30-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B31,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-DyersburgV5;,SAMMS-DyersburgV5,Select,NULL,NULL,Dyersburg,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B31-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B33,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-Paducah;,SAMMS-Paducah,Select,NULL,NULL,Paducah,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B33-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B34,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-CorbinV5;,SAMMS-CorbinV5,Select,NULL,NULL,Corbin,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B34-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B35,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-LexingtonV5;,SAMMS-LexingtonV5,Select,NULL,NULL,Lexington,1,1,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B35-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,CST,B35A,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-BereaV5;,SAMMS-BereaV5,Select,2018-06-01,NULL,Berea,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B35A-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B36,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-AshevilleV5;,SAMMS-AshevilleV5,Select,2015-09-07,NULL,Asheville,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B36-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B37,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ClydeV5;,SAMMS-ClydeV5,Select,2015-09-07,NULL,Clyde,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B37-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B38,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-SpartanburgV5;,SAMMS-SpartanburgV5,Select,2016-07-25,NULL,Spartanburg,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B38-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B39,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-AikenV5;,SAMMS-AikenV5,Select,2016-07-25,NULL,Aiken,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B39-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B41,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ChesapeakeV5;,SAMMS-ChesapeakeV5,Select,2016-10-24,NULL,Chesapeake,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B41-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-VirginiaBeachV5;,SAMMS-VirginiaBeachV5,Select,2016-10-24,NULL,Virginia Beach,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42A,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-NewportNewsV5;,SAMMS-NewportNewsV5,Select,2018-12-06,NULL,Newport News,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42A-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42B,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-FranklinV5;,SAMMS-FranklinV5,Select,2018-12-19,NULL,Franklin,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42B-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42C,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-GlenAllenV5;,SAMMS-GlenAllenV5,Select,2019-07-17,NULL,Glen Allen,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42C-1-30,NULL
BHG_DR,pats.tbl_ClientDemo1 + pats.tbl_ClientDemo2,EST,B42D,1,30,1,SQL,2,SAMMS,Data Source=BHGDALLSQL05\SQL2016SAMMS;Connection Timeout=60;Integrated Security=True;Encrypt=False;Initial Catalog=SAMMS-ChesapeakeSouthV5;,SAMMS-ChesapeakeSouthV5,Select,2019-06-11,NULL,Chesapeake South,1,0,dbo,tblclient,stg,ClientDemo,1 = 1,"Order by 1, 2",0,V6,B42D-1-30,NULL
