TableOrder,SchemaName,TableName,MapActionRows,DistinctSites,DistinctActionSteps,EnabledRows,DisabledRows,MinActionKey,MaxActionKey,MinStepKey,MaxStepKey
1,pats,tbl_Bills,117,117,1,117,0,1,1,3,3
2,pats,tbl_pbi3PayAuth,117,117,1,117,0,1,1,12,12
3,pats,tbl_vw3pBillSub,117,117,1,117,0,1,1,27,27
4,pats,tbl_Fmp,117,117,1,117,0,1,1,33,33
5,pats,tbl_PayerCltHistory,117,117,1,117,0,1,1,29,29
6,pats,tbl_FinancialHardshipApplication,117,117,1,117,0,1,1,64,64
7,pats,tbl_3pElig,117,117,1,117,0,1,1,16,16
8,pats,tbl_ClaimLineItem,117,117,1,117,0,4,4,2,2
9,pats,tbl_ClaimLineItemActivity,117,117,1,117,0,4,4,3,3
10,pats,tbl_Claims,117,117,1,117,0,4,4,1,1
11,pats,tbl_PayerClient,117,117,1,117,0,1,1,6,6
12,pats,tbl_tbldiag10,117,117,1,117,0,1,1,83,83
13,pats,tbl_ClientDemo1,117,117,1,0,117,1,1,1,1
14,pats,tbl_ClientDemo2,117,117,1,0,117,1,1,2,2
