SourceSystem,FinanceTableOrder,FinanceSchemaName,FinanceTableName,ActionKey,ActionStepKey,FieldKey,FieldName,PHC_Enabled,Enabled,PrimaryKey,FieldType,FieldLength,FieldPrecision,FieldScale,DsnFieldName,Nullable,Default,FormatConvert,CompKey
BHG_DR,1,pats,tbl_Bills,1,3,1,@SiteCode,1,1,1,nvarchar,50,0,0,SiteCode,0,@SiteCode,NULL,1-3-001
BHG_DR,1,pats,tbl_Bills,1,3,2,billID,1,1,2,int,4,10,0,billID,0,NULL,NULL,1-3-002
BHG_DR,1,pats,tbl_Bills,1,3,3,billCLTID,1,1,NULL,int,4,10,0,billCLTID,1,NULL,NULL,1-3-003
BHG_DR,1,pats,tbl_Bills,1,3,4,billGuestID,1,1,NULL,int,4,10,0,billGuestID,1,NULL,NULL,1-3-004
BHG_DR,1,pats,tbl_Bills,1,3,5,billDate,1,1,NULL,datetime,8,23,3,billDate,1,NULL,NULL,1-3-005
BHG_DR,1,pats,tbl_Bills,1,3,6,billBILL,1,1,NULL,money,8,19,4,billBILL,1,NULL,NULL,1-3-006
BHG_DR,1,pats,tbl_Bills,1,3,7,billPAY,1,1,NULL,money,8,19,4,billPAY,1,NULL,NULL,1-3-007
BHG_DR,1,pats,tbl_Bills,1,3,8,billPAYTYPE,1,1,NULL,varchar,50,0,0,billPAYTYPE,1,NULL,NULL,1-3-008
BHG_DR,1,pats,tbl_Bills,1,3,9,BillAdjust,1,1,NULL,money,8,19,4,BillAdjust,1,NULL,NULL,1-3-009
BHG_DR,1,pats,tbl_Bills,1,3,10,billReason,1,1,NULL,varchar,500,0,0,billReason,1,NULL,NULL,1-3-010
BHG_DR,1,pats,tbl_Bills,1,3,11,billReceiptNum,1,1,NULL,int,4,10,0,billReceiptNum,1,NULL,NULL,1-3-011
BHG_DR,1,pats,tbl_Bills,1,3,12,strUser,1,1,NULL,varchar,50,0,0,strUser,1,NULL,NULL,1-3-012
BHG_DR,1,pats,tbl_Bills,1,3,13,blnDeposit,1,1,NULL,bit,1,1,0,blnDeposit,0,NULL,NULL,1-3-013
BHG_DR,1,pats,tbl_Bills,1,3,14,dtDeposit,1,1,NULL,datetime,8,23,3,dtDeposit,1,NULL,NULL,1-3-014
BHG_DR,1,pats,tbl_Bills,1,3,15,billADJUSTID,1,1,NULL,int,4,10,0,billADJUSTID,1,NULL,NULL,1-3-015
BHG_DR,1,pats,tbl_Bills,1,3,16,FIFOallocated,1,1,NULL,bit,1,1,0,FIFOallocated,1,NULL,NULL,1-3-016
BHG_DR,1,pats,tbl_Bills,1,3,17,FIFObalance,1,1,NULL,money,8,19,4,FIFObalance,1,NULL,NULL,1-3-017
BHG_DR,1,pats,tbl_Bills,1,3,18,Costcenter,1,1,NULL,varchar,50,0,0,Costcenter,1,NULL,NULL,1-3-018
BHG_DR,1,pats,tbl_Bills,1,3,19,BillAptID,1,1,NULL,int,4,10,0,BillAptID,1,NULL,NULL,1-3-019
BHG_DR,1,pats,tbl_Bills,1,3,20,billORGdt,1,1,NULL,date,3,10,0,billORGdt,1,NULL,NULL,1-3-020
BHG_DR,1,pats,tbl_Bills,1,3,21,BillServID,1,1,NULL,int,4,10,0,BillServID,1,NULL,NULL,1-3-021
BHG_DR,1,pats,tbl_Bills,1,3,22,BillSiteID,1,1,NULL,int,4,10,0,BillSiteID,1,NULL,NULL,1-3-022
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,1,@SiteCode,1,1,1,varchar,50,0,0,SiteCode,0,NULL,NULL,1-12-001
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,2,tpaID,1,1,2,int,4,10,0,tpaID,0,NULL,NULL,1-12-002
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,3,tpEFFDate,1,1,NULL,date,3,10,0,tpEFFDate,0,NULL,NULL,1-12-003
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,4,tpaCLTID,1,1,NULL,int,4,10,0,tpaCLTID,1,NULL,NULL,1-12-004
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,5,tpaPayer,1,1,NULL,nvarchar,200,0,0,tpaPayer,1,NULL,NULL,1-12-005
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,6,tpaDESC,1,1,NULL,ntext,16,0,0,tpaDESC,1,NULL,NULL,1-12-006
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,7,tpaEffDATE,1,1,NULL,datetime,8,23,3,tpaEffDATE,1,NULL,NULL,1-12-007
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,8,tpaTermDATE,1,1,NULL,datetime,8,23,3,tpaTermDATE,1,NULL,NULL,1-12-008
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,9,tpaSTAFF,1,1,NULL,nvarchar,100,0,0,tpaSTAFF,1,NULL,NULL,1-12-009
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,10,tpadt,1,1,NULL,datetime,8,23,3,tpadt,1,NULL,NULL,1-12-010
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,11,tpaAuthCode,1,1,NULL,varchar,100,0,0,tpaAuthCode,1,NULL,NULL,1-12-011
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,12,tpAUTHPATH,1,1,NULL,varchar,250,0,0,tpAUTHPATH,1,NULL,NULL,1-12-012
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,13,tpCONFIRMPath,1,1,NULL,varchar,250,0,0,tpCONFIRMPath,1,NULL,NULL,1-12-013
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,14,TpFail,1,1,NULL,varchar,100,0,0,TpFail,1,NULL,NULL,1-12-014
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,15,tpRequestForm,1,1,NULL,varchar,250,0,0,tpRequestForm,1,NULL,NULL,1-12-015
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,16,tpResponseForm,1,1,NULL,varchar,250,0,0,tpResponseForm,1,NULL,NULL,1-12-016
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,17,tpServ,1,1,NULL,varchar,100,0,0,tpServ,1,NULL,NULL,1-12-017
