SourceSystem	SchemaName	TableName	ColumnName	OrdinalPosition	DataType	MaxLength	NumericPrecision	NumericScale	IsNullable
BHG_DR	ayx	tbl_PreAdmission_V6	SiteCode	1	varchar	25	NULL	NULL	NO
BHG_DR	ayx	tbl_PreAdmission_V6	PreAdmissionid	2	int	NULL	10	0	NO
BHG_DR	ayx	tbl_PreAdmission_V6	Clientid	3	int	NULL	10	0	NO
BHG_DR	ayx	tbl_PreAdmission_V6	CreatedON	4	datetime	NULL	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	Createdby	5	nvarchar	40	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	PreAdmissionDate	6	datetime	NULL	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	RegistrationMode	7	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	ReferralSourcedesc	8	varchar	800	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	PrimaryReferralSourceNote	9	nvarchar	2500	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	Program	10	nvarchar	40	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	InsuranceType	11	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IntakeProgram	12	nvarchar	300	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IntakeProgramDate	13	datetime	NULL	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsCurrentlyInOpiateProgram	14	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsPatientAtPainManagementClinic	15	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsHavingLegalPrescription	16	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsAnyLegalPrescriptionForPain	17	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsAnyOngoingMedicalCondition	18	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsSuicidalThoughtWithin72Hours	19	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsHavingPlanForHowToCommitSuicide	20	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsHomicidalThoughtWithin72Hours	21	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsRecentlyReleasedFromPenal	22	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsSpecialAccommodationRequired	23	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	ReasonSeekingTreatment	24	nvarchar	2000	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	AccomodationNeeded	25	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	ClientAddress	26	varchar	2500	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	Comments	27	nvarchar	500	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsPatientAdmitted	28	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	AreYouCurrentlyPregnant	29	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	BringIDProof	30	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	BringInsuranceCard	31	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	ClinicInfo	32	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	CurrntlyRecevingTreatmentForCondition	33	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsAnyPrescriptionForPain	34	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	IsInsurance	35	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	isOverTheCounterMedications	36	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	ImmediateAssessment	37	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	ImmediateAssessment911	38	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	MedicalConditionsProviderName1	39	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	MedicalConditionsProviderPhone1	40	nvarchar	50	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	MedicalConditionsProviderName2	41	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	MedicalConditionsProviderPhone2	42	nvarchar	50	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	PlanOfSuicide	43	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	PlanOnSpendingTimeAtClinic	44	varchar	30	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	SAMMSProgram	45	varchar	800	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	OfficeUseWhy	46	nvarchar	50	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	OngoingMedicalConditionsWha	47	nvarchar	256	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	PreAdd_Address	48	nvarchar	500	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	LastUpdatedBy	49	nvarchar	40	NULL	NULL	YES
BHG_DR	ayx	tbl_PreAdmission_V6	LastUpdateOn	50	datetime	NULL	NULL	NULL	YES
