SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,NumericPrecision,NumericScale,IsNullable,ColumnDefault
pats,tbl_Bills,SiteCode,1,nvarchar,25,NULL,NULL,NO,NULL
pats,tbl_Bills,RowChkSum,2,int,NULL,10,0,YES,NULL
pats,tbl_Bills,billID,3,int,NULL,10,0,NO,NULL
pats,tbl_Bills,billCLTID,4,int,NULL,10,0,NO,NULL
pats,tbl_Bills,billGuestID,5,int,NULL,10,0,YES,NULL
pats,tbl_Bills,billDate,6,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Bills,billBILL,7,money,NULL,19,4,YES,NULL
pats,tbl_Bills,billPAY,8,money,NULL,19,4,YES,NULL
pats,tbl_Bills,billPAYTYPE,9,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Bills,BillAdjust,10,money,NULL,19,4,YES,NULL
pats,tbl_Bills,billReason,11,varchar,2500,NULL,NULL,YES,NULL
pats,tbl_Bills,billReceiptNum,12,int,NULL,10,0,YES,NULL
pats,tbl_Bills,strUser,13,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Bills,blnDeposit,14,bit,NULL,NULL,NULL,NO,NULL
pats,tbl_Bills,dtDeposit,15,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Bills,billADJUSTID,16,int,NULL,10,0,YES,NULL
pats,tbl_Bills,FIFOallocated,17,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Bills,FIFObalance,18,money,NULL,19,4,YES,NULL
pats,tbl_Bills,Costcenter,19,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Bills,BillAptID,20,int,NULL,10,0,YES,NULL
pats,tbl_Bills,billORGdt,21,date,NULL,NULL,NULL,YES,NULL
pats,tbl_Bills,BillServID,22,int,NULL,10,0,YES,NULL
pats,tbl_Bills,BillSiteID,23,int,NULL,10,0,YES,NULL
pats,tbl_Bills,LastModAt,24,datetime2,NULL,NULL,NULL,YES,NULL
pats,tbl_Bills,RowState,25,bit,NULL,NULL,NULL,YES,((1))
pats,tbl_CheckIn,SiteCode,1,varchar,50,NULL,NULL,NO,NULL
pats,tbl_CheckIn,ciID,2,int,NULL,10,0,NO,NULL
pats,tbl_CheckIn,RowChkSum,3,int,NULL,10,0,NO,NULL
pats,tbl_CheckIn,LastModAt,4,datetime,NULL,NULL,NULL,NO,NULL
pats,tbl_CheckIn,ciCLTID,5,varchar,50,NULL,NULL,NO,NULL
pats,tbl_CheckIn,ciDate,6,datetime,NULL,NULL,NULL,NO,NULL
pats,tbl_CheckIn,ciTIME,7,datetime,NULL,NULL,NULL,NO,NULL
pats,tbl_CheckIn,ciSERVEDdtm,8,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_CheckIn,MinutesWaited,9,decimal,NULL,10,3,YES,NULL
pats,tbl_CheckIn,ciUSER,10,varchar,50,NULL,NULL,YES,NULL
pats,tbl_CheckIn,ciHOLD,11,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_CheckIn,cicltm4id,12,varchar,50,NULL,NULL,YES,NULL
pats,tbl_CheckIn,cicltName,13,varchar,100,NULL,NULL,YES,NULL
pats,tbl_CheckIn,ciCode,14,varchar,50,NULL,NULL,YES,NULL
pats,tbl_CheckIn,ciQueue,15,varchar,50,NULL,NULL,YES,NULL
pats,tbl_CheckIn,ciServedStaff,16,varchar,50,NULL,NULL,YES,NULL
pats,tbl_CheckIn,ciAmt,17,int,NULL,10,0,YES,NULL
pats,tbl_CheckIn,ciDoses,18,int,NULL,10,0,YES,NULL
pats,tbl_CheckIn,ciQUEUETIME,19,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,SiteCode,1,varchar,25,NULL,NULL,NO,NULL
pats,tbl_ClaimLineItem,tpcliID,2,int,NULL,10,0,NO,NULL
pats,tbl_ClaimLineItem,RowChkSum,3,int,NULL,10,0,NO,NULL
pats,tbl_ClaimLineItem,LastModAt,4,datetime,NULL,NULL,NULL,NO,NULL
pats,tbl_ClaimLineItem,RowState,5,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliTPCID,6,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliDtmService,7,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliTxtService,8,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliIntUnits,9,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliDtmAdded,10,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliStrAdded,11,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliAmtCharge,12,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItem,tpcliStrCPT,13,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliStrModifier,14,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliStrNDC,15,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliStrPOS,16,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItem,tpcliIntDx1,17,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliIntDx2,18,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliIntDx3,19,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliIntDx4,20,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliDiagnosis,21,varchar,50,NULL,NULL,YES,NULL
