BronzeColumn	SilverColumn
requestedAdmissionDayFri	RequestedAdmissionDayFri
requestedAdmissionDayMon	RequestedAdmissionDayMon
requestedAdmissionDayThu	RequestedAdmissionDayThu
requestedAdmissionDayTue	RequestedAdmissionDayTue
requestedAdmissionDayWed	RequestedAdmissionDayWed
daysafterdischarge	Daysafterdischarge
daysafterdischargeP	DaysafterdischargeP
describeother	Describeother
describeother1	Describeother1
describeother1P	Describeother1P
describeother2	Describeother2
describeother2P	Describeother2P
describeotherP	DescribeotherP
dropdownPresentlyInPainScale1to10	DropdownPresentlyInPainScale1to10
isOverTheCounterMedications	IsOverTheCounterMedications
other	Other
other2	Other2
other2P	Other2P
otherP	OtherP
dropdownNumberOfChildren	DropdownNumberOfChildren
isMentalHealthTreatment	IsMentalHealthTreatment
nameOfWitness	NameOfWitness
staffAtHCRC	StaffAtHCRC
protectedHealthInformationMA	ProtectedHealthInformationMA
namedIndividualMA	NamedIndividualMA
namedEntityMA	NamedEntityMA
namedThirdPartyMA	NamedThirdPartyMA
namedEntityWithoutTreatmentMA	NamedEntityWithoutTreatmentMA
namedIndividualPaticipantMA	NamedIndividualPaticipantMA
genralTreatingproviderrelationshipMA	GenralTreatingproviderrelationshipMA
purposeOfDisclosureMA	PurposeOfDisclosureMA
exclusionsMA	ExclusionsMA
representativesRelationshiptoPatientMA	RepresentativesRelationshiptoPatientMA
unlessrevokedMA	UnlessrevokedMA
istheresubstanceusehistory	Istheresubstanceusehistory
iscurrentlypatientpainmanagementmethadone	Iscurrentlypatientpainmanagementmethadone
txtpatientatpainmanagementclinicmethadone	Txtpatientatpainmanagementclinicmethadone
interestedtransferringetsyes	Interestedtransferringetsyes
ispreviouslybeenpatientmedicationassisted	Ispreviouslybeenpatientmedicationassisted
txtpreviouslybeenpatientmedicationassisted	Txtpreviouslybeenpatientmedicationassisted
datepreviouslypatientmedicationassisted	Datepreviouslypatientmedicationassisted
ispregnant	Ispregnant
currentlypregnant	Currentlypregnant
isplantopaytreatment	Isplantopaytreatment
txtplantopaytreatmentprivateinsurance	Txtplantopaytreatmentprivateinsurance
txtplantopaytreatmentother	Txtplantopaytreatmentother
isdoyouhavepicture	Isdoyouhavepicture
datetimelastopioid	Datetimelastopioid
issymptomsofopioidwithdrawal	Issymptomsofopioidwithdrawal
txtsymptomsofopioidwithdrawaltrue	Txtsymptomsofopioidwithdrawaltrue
ishadalcoholinlast12hours	Ishadalcoholinlast12hours
txthadanyalcohol	Txthadanyalcohol
isprioretspatientyes	Isprioretspatientyes
prioretspatient	Prioretspatient
lastprescription	Lastprescription
ishaveyouhospitalizedinlast30daysyes	Ishaveyouhospitalizedinlast30daysyes
txthospitalisedlast30days	Txthospitalisedlast30days
nameOfWitnessQ8	NameOfWitnessQ8
unlessrevokedQ8	UnlessrevokedQ8
representativesRelationshiptoPatientQ8	RepresentativesRelationshiptoPatientQ8
exclusionsQ8	ExclusionsQ8
purposeOfDisclosureQ8	PurposeOfDisclosureQ8
genralTreatingproviderrelationshipQ8	GenralTreatingproviderrelationshipQ8
namedIndividualPaticipantQ8	NamedIndividualPaticipantQ8
namedEntityWithoutTreatmentQ8	NamedEntityWithoutTreatmentQ8
namedThirdPartyQ8	NamedThirdPartyQ8
namedEntityQ8	NamedEntityQ8
namedIndividualQ8	NamedIndividualQ8
protectedHealthInformationQ8	ProtectedHealthInformationQ8
staffAtHCRCQ8	StaffAtHCRCQ8
radioNamedIndividualQ2	RadioNamedIndividualQ2
radioNamedthirdpartyPayerQ2	RadioNamedthirdpartyPayerQ2
radioNamedEntityProvideRelationWithMeQ2	RadioNamedEntityProvideRelationWithMeQ2
radioNamedEntityWithoutProvideRelationWithMeQ2	RadioNamedEntityWithoutProvideRelationWithMeQ2
radioNamedIndividualParticipantQ2	RadioNamedIndividualParticipantQ2
radioGeneralDesignationQ2	RadioGeneralDesignationQ2
radioNamedIndividualQ8	RadioNamedIndividualQ8
radioNamedthirdpartyPayerQ8	RadioNamedthirdpartyPayerQ8
radioNamedEntityProvideRelationWithMeQ8	RadioNamedEntityProvideRelationWithMeQ8
radioNamedEntityWithoutProvideRelationWithMeQ8	RadioNamedEntityWithoutProvideRelationWithMeQ8
radioNamedIndividualParticipantQ8	RadioNamedIndividualParticipantQ8
radioGeneralDesignationQ8	RadioGeneralDesignationQ8
radioNamedIndividualQ2select	RadioNamedIndividualQ2select
radioNamedIndividualParticipantQ2select	RadioNamedIndividualParticipantQ2select
radioNamedIndividualQ8select	RadioNamedIndividualQ8select
radioNamedIndividualParticipantQ8select	RadioNamedIndividualParticipantQ8select
chkBoxRevokeROIQ2	ChkBoxRevokeROIQ2
txtBoxRevokeROIQ2	TxtBoxRevokeROIQ2
chkBoxRevokeROIQ8	ChkBoxRevokeROIQ8
txtBoxRevokeROIQ8	TxtBoxRevokeROIQ8
