Counselor	Supervisor	CreatedOn	MedicalProvider	FormProcessId	Provider	Enabled	CompletedBy	DateFilterEnabled	Staff	FormName	ModifiedOn	Prefix	Patient	Requestor	RowState	TableName	Doctor
NULL	NULL	CreatedOn	MedicalStaffSignatureDate	1	NULL	1	NULL	1	NULL	RI - BHOLD	ModifiedOn	24	NULL	NULL	1	RIBHOLD	NULL
NULL	NULL	CreatedOn	NULL	2	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home Care Plan Review Form	ModifiedOn	25	PatientSignatureDate	NULL	1	RIHealthHomeCareReview	NULL
NULL	NULL	CreatedOn	NULL	3	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home Consent to Receive	ModifiedOn	26	PatientSignatureDate	NULL	1	RIHealthHomeConsentToReceive	NULL
NULL	NULL	CreatedOn	NULL	4	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home Eligibility and Follow up Checklist	ModifiedOn	27	NULL	NULL	1	RIHealthHomeEligibilityFollUpChecklist	NULL
NULL	NULL	CreatedOn	NULL	5	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home History	ModifiedOn	28	PatientSignatureDate	NULL	1	RIHealthHomeHistory	NULL
NULL	NULL	CreatedOn	NULL	6	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home Note	ModifiedOn	29	NULL	NULL	1	RIHealthHomeNote	NULL
NULL	NULL	CreatedOn	NULL	7	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home Triage Assessment	ModifiedOn	30	PatientSignatureDate	NULL	1	RIHealthHomeTriageAssessment	NULL
NULL	NULL	CreatedOn	NULL	8	NULL	1	NULL	1	StaffSignatureDate	RI - Health Home Patient Centered Plan of Care	ModifiedOn	31	PatientSignatureDate	NULL	1	RIHealthHomePatientCenteredPlan	NULL
NULL	NULL	CreatedOn	NULL	9	NULL	1	NULL	1	StaffSignatureDate	RI - Overdose Prevention Education	ModifiedOn	32	PatientSignatureDate	NULL	1	RIOverdosePreventionEducation	NULL
NULL	NULL	CreatedOn	NULL	10	NULL	1	NULL	1	StaffSignatureDate	RI - PHQ-9 Form	ModifiedOn	33	PatientSignatureDate	NULL	1	RIPHQ9	NULL
NULL	NULL	CreatedOn	NULL	11	NULL	1	NULL	1	StaffSignatureDate	GA - Patient Rights and Responsibilities	ModifiedOn	34	PatientSignatureDate	NULL	1	PatientRightsandResponsibilities	NULL
NULL	NULL	CreatedOn	NULL	12	ProviderSignatureDate	1	NULL	1	NULL	GA - Order for Services	ModifiedOn	35	NULL	NULL	1	OrderforServices	NULL
NULL	NULL	CreatedOn	NULL	13	ProviderSignatureDate	1	NULL	1	StaffSignatureDate	GA - Consent to Treatment with an Approved Narcotic	ModifiedOn	36	PatientSignatureDate	NULL	1	GAConsenttoTreatmentwithanApprovedNarcotic	NULL
NULL	NULL	CreatedOn	NULL	14	NULL	1	NULL	1	StaffSignatureDate	GA - Consent Central Registry Georgia	ModifiedOn	37	PatientSignatureDate	NULL	1	GAConsentCentralRegistryGeorgia	NULL
NULL	SupervisorSignatureDate	CreatedOn	NULL	15	ProviderSignatureDate	1	NULL	1	StaffSignatureDate	GA - Transition and Discharge Plan	ModifiedOn	38	NULL	NULL	1	TransitionandDischargePlan	NULL
NULL	NULL	CreatedOn	NULL	16	NULL	1	NULL	1	StaffSignatureDate	NC - Consent to Central Registry	ModifiedOn	39	PatientSignatureDate	NULL	1	NCConsenttoCentralRegistry	NULL
NULL	NULL	CreatedOn	NULL	17	NULL	1	NULL	1	StaffSignatureDate	NC - Initial Transition and Discharge Plan	ModifiedOn	40	PatientSignatureDate	NULL	1	NCInitialTransitionDischargePlan	NULL
NULL	NULL	CreatedOn	NULL	18	NULL	1	NULL	1	StaffSignatureDate	NC - Crisis Prevention and Intervention Plan	ModifiedOn	41	PatientSignatureDate	NULL	1	CrisisPrevention	NULL
NULL	NULL	CreatedOn	NULL	19	NULL	1	NULL	1	StaffSignatureDate	NC - Consent and Auth Disclosure of Sub Disorder	ModifiedOn	42	PatientSignatureDate	NULL	1	NCConsentAuthDisclosureSubDisorder	NULL
NULL	SupervisorSignatureDate	CreatedOn	NULL	20	ProviderSignatureDate	1	NULL	1	StaffSignatureDate	NC - Person Centered Profile	ModifiedOn	43	PatientSignatureDate	NULL	1	NCPersonCenteredProfile	NULL
NULL	NULL	CreatedOn	NULL	21	NULL	1	NULL	1	StaffSignatureDate	NC - PIE	ModifiedOn	44	NULL	NULL	1	NCPIE	NULL
NULL	NULL	CreatedOn	NULL	22	MedicalProviderSignatureDate	1	NULL	1	StaffSignatureDate	90 Day Review	ModifiedOn	45	NULL	NULL	1	NinetyDayReview	NULL
NULL	NULL	Createdon	NULL	23	NULL	1	CompletedBySignatureDate	1	NULL	AR-State Fact form	ModifiedOn	46	NULL	NULL	1	StateFactForm	NULL
NULL	NULL	Created	NULL	24	NULL	0	NULL	1	NULL	Authorization To Obtain/Release (PHI)	Modified	47	NULL	NULL	1	RNP_AuthorizationToObtainOrRelease	NULL
NULL	NULL	CreatedOn	NULL	25	NULL	1	NULL	1	StaffSignatureDate	MN - Consent to Treatment Via Telehealth	ModifiedOn	23	NULL	NULL	1	ConsenttoTreatmentViaTelehealth	NULL
