ConfigId	ConfigName	PipelineName	PipelinePath	TransformationModule	SourceSystem	SourceType	TargetName	EnvironmentName	PipelineDependency	ExecutionSequence	TriggerType	TriggerFrequency	TriggeredBy	IsActive	ConnectionConfig	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy
18	SAMMS Orders Bronze	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	SAMMS	DATA BASE	BR	DEV	NULL	1	SCHEDULE	DAILY	Fabric	1	{"TargetTable":"bhg_bronze.order.brz_Orders"}	2026-06-08 22:13:42.505611	Joel	2026-08-03 10:34:19.311986	Joel
20	SAMMS Orders Gold	pl_SaveOrders	/pipelines/pl_SaveOrders	Versioned Gold Publish	Silver	DATA BASE	GL	DEV	nb_SaveOrders_brz_to_sl	3	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_silver.pats.slv_Orders","TargetTable":"bhg_gold.pats.Orders","LoadType":"Versioned Gold Load","Rollback":"Enabled"}	2026-06-08 22:14:43.944467	Joel	2026-08-03 10:34:19.311986	Joel
19	SAMMS Orders Silver	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	Bronze	DATA BASE	SL	DEV	nb_SaveOrders_src_to_brz	2	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_bronze.order.brz_Orders","TargetTable":"bhg_silver.pats.slv_Orders","LoadType":"Incremental"}	2026-06-08 22:14:08.636166	Joel	2026-08-03 10:34:19.311986	Joel





taskconfig


TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName
51001	18	Orders Bronze - AHK	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	AHK	SAMMS-Ahoskie	Ahoskie
51002	18	Orders Bronze - B12B	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B12B	SAMMS-ColoradoSpringsV5	ColoradoSprings
51003	18	Orders Bronze - B24	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B24	SAMMS-PaintsvilleV5	Paintsville
51004	18	Orders Bronze - B25	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B25	SAMMS-PikevilleV5	Pikeville
51005	18	Orders Bronze - B26	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B26	SAMMS-HazardV5	Hazard
51006	18	Orders Bronze - B27	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B27	SAMMS-SavannahV6	Savannah
51007	18	Orders Bronze - B28	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B28	SAMMS-WestPlainesV5	WestPlaines
51008	18	Orders Bronze - B29	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B29	SAMMS-PoplarBluffV5	PoplarBluff
51009	18	Orders Bronze - B30	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B30	SAMMS-KCNv5	KCN
51010	18	Orders Bronze - B31	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B31	SAMMS-DyersburgV5	Dyersburg
